iter	Passed	Remaining
0	2	244
1	4	220
2	6	205
3	7	187
4	9	179
5	10	171
6	12	163
7	13	157
8	15	152
9	16	147
10	17	141
11	18	136
12	19	133
13	21	129
14	22	125
15	23	122
16	24	119
17	25	116
18	26	113
19	27	110
20	28	108
21	29	105
22	30	102
23	31	100
24	32	98
25	34	96
26	34	94
27	36	92
28	37	90
29	38	89
30	39	87
31	40	85
32	41	83
33	42	82
34	43	80
35	44	79
36	46	78
37	47	77
38	49	76
39	50	75
40	51	74
41	52	72
42	53	70
43	54	69
44	56	69
45	57	67
46	59	66
47	60	65
48	61	64
49	63	63
50	64	61
51	65	60
52	66	59
53	67	57
54	68	56
55	70	55
56	71	53
57	72	52
58	74	51
59	75	50
60	76	49
61	78	47
62	79	46
63	80	45
64	81	43
65	82	42
66	83	41
67	84	39
68	85	38
69	86	37
70	88	36
71	89	34
72	90	33
73	91	32
74	92	30
75	93	29
76	94	28
77	95	26
78	96	25
79	97	24
80	98	23
81	99	21
82	100	20
83	102	19
84	103	18
85	104	16
86	105	15
87	106	14
88	107	13
89	108	12
90	109	10
91	110	9
92	111	8
93	113	7
94	114	6
95	115	4
96	116	3
97	117	2
98	119	1
99	120	0
