iter	Passed	Remaining
0	159	159425
1	160	80176
2	161	53730
3	162	40485
4	163	32551
5	164	27255
6	165	23458
7	166	20617
8	167	18423
9	168	16662
10	169	15221
11	170	14041
12	171	13031
13	172	12169
14	173	11415
15	174	10751
16	175	10162
17	176	9640
18	177	9170
19	178	8750
20	179	8372
21	180	8028
22	181	7716
23	182	7430
24	184	7179
25	185	6939
26	186	6715
27	187	6505
28	188	6310
29	189	6129
30	190	5960
31	191	5799
32	192	5646
33	193	5500
34	194	5364
35	195	5236
36	196	5115
37	197	5001
38	199	4903
39	200	4803
40	201	4706
41	202	4616
42	203	4532
43	204	4450
44	205	4370
45	207	4293
46	208	4222
47	209	4153
48	210	4088
49	211	4024
50	213	3971
51	214	3912
52	215	3856
53	217	3801
54	218	3749
55	219	3698
56	220	3647
57	221	3600
58	222	3553
59	224	3511
60	225	3469
61	226	3429
62	228	3394
63	229	3356
64	230	3316
65	231	3278
66	232	3242
67	234	3210
68	235	3176
69	236	3143
70	237	3111
71	238	3079
72	240	3047
73	241	3018
74	242	2991
75	243	2963
76	244	2934
77	245	2905
78	246	2877
79	247	2849
80	248	2823
81	249	2798
82	250	2768
83	251	2745
84	252	2720
85	253	2697
86	254	2674
87	255	2652
88	257	2633
89	258	2612
90	259	2591
91	260	2571
92	261	2551
93	262	2531
94	263	2511
95	264	2492
96	265	2474
97	266	2456
98	267	2438
99	268	2420
100	269	2402
101	271	2392
102	272	2377
103	274	2361
104	275	2346
105	276	2330
106	277	2314
107	278	2297
108	279	2283
109	280	2268
110	281	2253
111	282	2238
112	283	2222
113	284	2208
114	285	2195
115	286	2183
116	287	2168
117	288	2155
118	289	2142
119	290	2129
120	291	2117
121	292	2104
122	293	2094
123	294	2082
124	295	2070
125	296	2059
126	297	2046
127	298	2035
128	299	2025
129	301	2015
130	302	2004
131	303	1995
132	304	1984
133	305	1974
134	306	1965
135	307	1954
136	308	1944
137	309	1935
138	310	1925
139	311	1916
140	313	1906
141	313	1896
142	314	1887
143	316	1880
144	317	1871
145	318	1862
146	319	1854
147	320	1845
148	321	1837
149	322	1829
150	323	1820
151	324	1812
152	326	1804
153	327	1796
154	328	1789
155	329	1781
156	330	1774
157	331	1768
158	332	1760
159	333	1753
160	334	1743
161	335	1736
162	336	1729
163	337	1721
164	338	1714
165	339	1707
166	340	1699
167	341	1692
168	342	1684
169	343	1678
170	345	1673
171	346	1666
172	347	1659
173	348	1653
174	349	1646
175	350	1639
176	351	1632
177	352	1626
178	353	1619
